name,DS100,Laenge,Breite,osm_id,osm_name
Leiferde West,HLFW,,,,
Rüningen,HRUE,10.5015414,52.220655,235634021.0,Rüningen
Umrathshsn.Bf Hp,MURB,,,,
Braunschweig-Kralenriede,YHBSKR,10.5382962,52.3038665,68701564.0,Kralenriede
Bienrode,HBRD,10.5284859,52.3191304,68698491.0,Bienrode
Isenbüttel,HIB,10.5783233,52.4362812,1357837.0,Isenbüttel
Bad Empfing,MBEP,12.6399475,47.8812674,5351501638.0,Empfing
Hengelo,XNHL,6.7924049,52.2658726,404388.0,Hengelo
Oldenzaal,XNOD,6.9241615,52.3116616,415447.0,Oldenzaal
Weissach,TWSS,8.9273862,48.8467574,722149.0,Weissach
Wolfsburg West,YHWOW,10.7373762,52.4212999,272913542.0,Wolfsburg-West
Finsterbach,YMFIB,13.9190176,46.6753753,11982261.0,Finsterbach
Szczecin Gu.,XPSU,,,,
Szczecin Glowny,XPSG,14.5521073,53.4193238,53212530.0,Szczecin Główny
Feldolling,YMFD,11.8559291,47.8955872,479246641.0,Feldolling
Rosenheim Aicherpark,YMROA,12.0883297,47.8514981,642904702.0,Rosenheim Aicherpark
Hagenwerder Gre,DXHW,,,,
Horka Mitte Hp,BHRM,,,,
Bad Kreuznach Pfingstwiese,YSBKNP,7.8676987,49.8517388,528506651.0,Pfingstwiese
Bad Kreuznach Rheingrafenstr.,YSBKNR,7.8447691,49.8104179,149272088.0,Rheingrafenstraße
Sarnau,FSR,18.20066,51.06256,692611711.0,Sarnów
Nordhorn-Blanke,YHNDB,7.0747736,52.4169928,4957525273.0,Nordhorn-Blanke
Neuenhaus Süd,YHNEHS,6.9624841,52.4898406,128595101.0,Neuenhaus Süd
Karlovy Vary,XTKV,12.8701437,50.2306216,439482.0,Karlovy Vary
Beuchow,XBEU,13.9034987,51.848385,5624368.0,Beuchow
Posewald Hp,XPOSE H,,,,
Seelvitz,XSEEL,13.5614887,54.3675675,450022741.0,Seelvitz
Serams,XSER,13.5885425,54.3778071,332345406.0,Serams
Weener Gr,HXWE,,,,
Matting Ausw.,NMAH,,,,
Hamlar,MHAM,10.8275271,48.6953234,271928565.0,Hamlar
Lollar Nord,YFLOLN,8.720976,50.6641715,1770439318.0,Staufenberg-Nord Lollar-Nord
Daubringen,YFDAU,8.7382348,50.6513795,14286268.0,Daubringen
Mainzlar,FMAI,8.7440006,50.6601021,14286269.0,Mainzlar
Treis,YFTR,8.7857719,50.6680837,13765313.0,Treis
Allendorf,YFADF,7.9982619,50.2679502,539713.0,Allendorf
Londorf,YFLDF,8.8621774,50.6751511,295436046.0,Londorf
Nieuwe Schans,XNNS,5.4966049,51.8373481,44041174.0,Nieuwe Schans
Bunde,HBUD,7.2695448,53.184017,1255784.0,Bunde
Ihrhove,HIHV,7.4550939,53.1696945,1343496189.0,Ihrhove
Steilküste / Wittenbeck,XSTEI,11.7944136,54.144748,71502974.0,Steilküste
Heiligendamm,XHEI,11.842199,54.1423664,1577748241.0,Heiligendamm
Freiberg DB-Gr,DFRG,12.2550432,50.3218867,70914682.0,Graben
Plesná Hp,XTPLA,,,,
Vojtanov,XTV,12.3168787,50.168417,438944.0,Vojtanov
Žírovice-Seníky,XTZS,12.3353168,50.1479918,263691648.0,Žírovice-Seníky
Tršnice,XTTR,12.3877057,50.1134692,424429.0,Tršnice
Eich (Sachs),DEI,12.3401918,50.5457575,11668633770.0,Eich (Sachs)
